File,Hit,LeftContext,TargetWord,RightContext,DepVar,HelpClass,HelpInflection,VerbLemma,InterveningWords,ObjPresent,ObjPronoun,ObjLength,ObjHead,HelpPolarity,PrecedingTo,SubjType,SubjHead,SubjAnimacy,CompLemma,CompTag
138315_1885-08-03_Law and Justice (England and Wales)—the Circuit Arrangements.txt,56,"dates for holding the Assizes at Chelmsford, Hertford, and Lewes; and even now, if he could not obtain the assistance of a Commissioner to whom he had made application for",help,", he was afraid he must again alter his present arrangements, for the two remaining Judges were obliged to stay in London, one taking work at Chambers, and the other being engaged with criminal business at the Old Bailey. He also referred to the great expense that the special jurors, petty jurors, and witnesses were put to at having to remain",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136887_1885-05-18_Resolution.txt,57,"was about to submit to the House did not turn upon the question of Egypt, but upon the question of the Soudan; and, looking at that question, he could not",help,"feeling very strongly that when Her Majesty's Government enthroned Sir Evelyn Baring on the seat of the Pharoahs, and announced that they intended to give up the Soudan, that was a very highhanded act on the part of the Government of a country which was nothing but an intruder in Egypt. In doing so they entirely gave the goby to",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,feel,VBG
136887_1885-05-18_Resolution.txt,58,"movement, which had spread so enormously among the negroes, and the Arabic language and literature were better adapted to the Africans than any European influences, and had done much to",help,"them to evolve a civilization of their own. Respect for the noble Earl's motives had led him on into those remarks on his abstract proposition. His excuse must be that it was impassible to treat any opinion of his with indifference. He would, however, ask him whether he would not be satisfied with having made his speech, without requiring the",TO,VERB,VB,evolve,1,Yes,PRO,1,them,POS,YEStoBefore,NP,influence,Inanimate,evolve,VB
136887_1885-05-18_Resolution.txt,59,But then the policy was monstrous that you should send such a man as General Gordon—perhaps the noblest character of our modern times—and intimate that on no account would you,help,"him. If you sent General Gordon you were bound by every obligation of honour as well as policy to hold yourselves in readiness to rescue him by arms. As things then stood, to many of us in this country it seemed possible that the personal influence of General Gordon—so pure, so powerful, so magnetic in its character—might have been able",NA,VERB,VB,NA,NA,NA,NA,NA,NA,NEG,NOtoBefore,PRON,you,Animate,send,VBD
136887_1885-05-18_Resolution.txt,60,relief. But the time was lost; we did not know how to make up our minds; and from. May to August no determination was taken by the Government. I cannot,help,"saying that I believe that delay, leading to the fall of Khartoum, will remain a permanent blot on the memory of the Government of this country. When Lord Wolseley's wonderful Expedition—for, as regards the conduct of the soldiers and the energy of every man in that Expedition, it has been one of the most wonderful Expeditions—it has been the admiration",ING,VERB,VB,say,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,say,VBG
136887_1885-05-18_Resolution.txt,61,"take it that I am not to speak except to answer what he himself and those who support him have said. With regard to the noble Earl himself, I cannot",help,"remarking upon the great change the noble Earl has made in his Motion—a great change over which the noble Earl himself very lightly glided. In his Motion he laid down originally that it was absolutely essential to the honour of this country, and essential for a great many other things, that a certain railway should be made from Suakin to",ING,VERB,VB,remark,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,remark,VBG
136935_1885-05-19_Address for a Return.txt,62,"against the War Office. He knew that abundant supplies had been sent out; but the question was whether they had reached the troops, and on that point he could not",help,"thinking that the troops were the best judges. The noble Earl had received Commissariat Reports. He would suggest that he should ask for more specific Reports from the Military Authorities. THE EARL OF MORLEY said, that the information given to the noble Earl (the Earl of Longford) was entirely wrong. That Return he had shown the noble Earl was not",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138515_1885-08-06_Committee.txt,63,upon the increase of the population. It was found difficult to estimate the population; and the Corporation went to the Local Government Board to get a Provisional Order which should,help,"them on this point. The arrangement come to was that they should take the Census of 1881, and add for each subsequent year one-tenth of the increase that took place between the years 1871 and 1881. If now the House accepted the Amendment, they would upset every Local Act which these townships had obtained. They entered into a bargain to",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,PRON,which,Inanimate,come,VBP
138515_1885-08-06_Committee.txt,64,"the outlying townships an additional supply of water on condition that they gave a fair price for it, no one could object to it. With every disposition to give them",help,"in obtaining what they sought, what he objected to was the contention that a Bill of this kind, which had nothing to do with the supply of water, but only the ascertaining of the population, should be considered a fair opportunity to compel the Dublin Corporation to give them better terms than those already agreed upon as regarded the supply",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138631_1885-08-11_Poor Law (Ireland)—belfast Union Workhouse—charge of Drunkenness Against the Sch.txt,65,"steps the Local Government Board for Ireland have taken regarding the report furnished them about two schoolmasters of the Belfast Workhouse named Madden and M'Guinness, who were seen in a",helpless,"state of drunkenness on the streets of Belfast on the 14th July, 1885; is it true that, although Madden was assisted by some friends through a back entrance into the workhouse on this date, to the knowledge of the head schoolmaster and other officials of the workhouse, as well as several paupers, no report of Madden's condition was made to",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137564_1885-07-13_Resolution.txt,66,"of 1860 distinctly said that these Orders should be treated as Public Bills, and surely this meant that they were not to be treated as Private Bills. He could not",help,"saying that he heartily concurred in the argument of the noble and learned Earl (the Earl of Selborne). THE EARL OF LONGFORD said, the greatest possible confusion had been caused by two Acts that had been hurriedly passed at the very end of the Session of 1883, with the very best intentions, but with unsatisfactory results —namely, the Tramways Act",ING,VERB,VB,say,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,say,VBG
137691_1885-07-16_Second Reading.txt,67,"Friend the Member for the City of London (Mr. Hubbard) into the wide field of subjects, not unfamiliar to the House, over which he had ranged; but he could not",help,"feeling that he had done the previous Conservative Government an injustice in his remarks upon their endeavour to apply to the whole country the same principles in respect of valuation which were applied to the Metropolis. Had the House been allowed to adopt that proposal, considerable incidental advantage might have accrued to the Exchequer; but his right hon. Friend, instead",ING,VERB,VB,feel,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,feel,VBG
137691_1885-07-16_Second Reading.txt,68,have recourse to the method of loans. Absolute necessity was the only excuse for such a policy. He never took a Party view of financial matters if he could possibly,help,"it. It was quite right to criticize, but all Parties had a common interest, and that was to raise the necessary taxation in that manner which was most convenient and easy to every class of the community. He had merely risen in order to emphasize, as strongly as he could, what he believed to be the view of the Chancellor",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,PRON,he,Animate,criticize,VB
137887_1885-07-21_(No 178) Third Reading.txt,69,"expressing himself too strongly on the general merits of the Bill, although he was not so enamoured of it as some of his noble Friends opposite, he yet could not",help,"thinking that what the noble Earl (the Earl of Minto) now proposed was very objectionable. What it amounted to was this—that no one but a Scotsman was to be considered fit to administer Scottish Education. He (Viscount Cranbrook) wished to know whether the noble Earl would like to exclude Scotsmen from interfering with, or exercising any influence on, English Education;",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138836_1886-01-22_Adjourned Debate [Second Night].txt,70,"are really managed through the instrumentality of the Resident Magistrate, and the Resident Magistrate is in constant communication with the Castle. This state of things has partly arisen from the",helpless,"nature of the Irish. ֵ A hateful system of bureaucratic government is the result. The other extract was from a speech of the right hon. Gentleman the Member for West Birmingham (Mr. Joseph Chamberlain), in which he said that the system of Irish government was founded on the bayonets of 30,000 soldiers, encamped permanently in a hostile country, and that",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138836_1886-01-22_Adjourned Debate [Second Night].txt,71,"considerable faith, the more youthful Member for the town of Birmingham, he could only say that they, the Liberal Party, were loft in that House in the position of a",helpless,"crowd. However admirable the selection of the constituencies might be, they were nothing better than a crowd unless they were led. What they wanted was leading, and leading of a definite and certain kind. The right hon. Gentleman the Member for Mid Lothian, for whom no one had a higher respect than he had, was a little too humble in",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137833_1885-07-21_Second Reading.txt,72,"in the interests of the ratepayers; and seeing that the Company had not felt it right to accede to the proposals of the Metropolitan Board, or in any way to",help,"them, he hoped the House would throw out the Bill, which he certainly did not think was worthy of a second reading. MR. M'COAN said, he thought that very scant justice had, by some of the speakers who had already addressed the House, been done to the promoters of the Bill. He (Mr. M'Coan) was satisfied that no injustice had",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,NP,way,Inanimate,hop,VBD
138466_1885-08-05_The Papal See—diplomatic Communication With the Vaticas—sir George Errington.txt,73,"glad to perceive that today the hon. Baronet had changed his mind, and was now in a position to hear him, and f-peak himself on the subject. He could not",help,"remarking that the hon. Baronet's course of conduct since the publication of this letter was, to say the least, singularly unsatisfactory, if not of a suspicious character. If the hon. Baronet never wrote a letter of that description nothing would be easier than for him to say so over his own name. Instead of that there appeared on Friday a",ING,VERB,VB,remark,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,remark,VBG
137409_1885-07-09_Ways and Means—committee.txt,74,alteration in the Budget proposals as brought in a couple of months ago in that he was not going to anticipate the Sinking Fund of next year. He could not,help,"thinking that the principle of anticipating the Sinking Fund and the paying off of a part of the National Debt was a somewhat dangerous one; and ho was well satisfied that the right hon. Gentleman had thought right to make an alteration in that respect. In other respects he saw that ""coming events cast their shadows before."" There was in",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137409_1885-07-09_Ways and Means—committee.txt,75,"he saw that ""coming events cast their shadows before."" There was in the Budget proposals of the right hon. Gentleman a very dark shadow in many respects. He could not",help,"thinking that, whilst hon. Members on the other side of the House had described the late Budget as a £100,000,000 one, they should describe the present proposals as a 100,000,000 Vote Budget. He could not help thinking that it was, to some extent, a popularity Budget. The effect of the proposals before the Committee was that the Treasury should have",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137409_1885-07-09_Ways and Means—committee.txt,76,"on the other side of the House had described the late Budget as a £100,000,000 one, they should describe the present proposals as a 100,000,000 Vote Budget. He could not",help,"thinking that it was, to some extent, a popularity Budget. The effect of the proposals before the Committee was that the Treasury should have power to issue £4,000,000 of Treasury Bills to meet the requirements of the moment. The late Government had given them good hopes that £2,000,000 of the £11,000,000 would not really be required; but now the right",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137997_1885-07-24_Reroltuion.txt,77,"as the Irish were in that House to hear lame defences by the Chief Secretary, he did not believe that in all his experience he had ever hoard a more",helpless,attempt at a defence than that which had just been presented by the Chief Secretary as to the serious charges made against this official by the hon. Member for Mallow. He had insinuated that the charges made were vague; but he believed that he had never heard anything more clear or specific than the case which had been presented by,NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138375_1885-08-03_[Bill 68] Committee.txt,78,not necessary for a man to labour every day in the week. He (Mr. O'Shea) had considerable experience in various parts of the West of Ireland; and he could not,help,"thinking that unless some Amendment of this kind were accepted the Bill would benefit very few men. It might possibly be that the Amendment of the hon. Gentleman (Mr. Sexton) went too far; but, at the same time, it was perfectly evident that the clause, as it now stood, did not go far enough. Could not the Government propose something",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137189_1885-06-15_Consideration of Lords' Amendments.txt,79,"in cases where the same conditions, the same urgency, and the same general assent should seem to recommend it. These are the observations I wish to make, and I cannot",help,"thinking that they represent the evident sense of the House. SIR MICHAEL HICKS-BEACH I think the closing words of the right hon. Gentleman place us in a considerable difficulty. How is it possible for us to set a precedent as to which we can be perfectly sure that no peculiar circumstances, or circumstances said to be peculiar, will recur to",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,think,VBG
138467_1885-08-05_Royal Commission on the Depression of Trade and Industry.txt,80,muse of history must have smiled as he recorded the fact that the author of Vaticanism and the other pamphlets was the very man to appeal to the Vatican to,help,him in doing his own work of governing Ireland. What was the main thesis of these pamphlets. What was the principal argument of those brilliant writings against the Pope if it were not that he was a foreign potentate interfering in the internal affairs of other countries; and yet here is the author of these same pamphlets calling on that,ING,VERB,VB,do,2,Yes,PRO,1,him,POS,YEStoBefore,NP,Vatican,Inanimate,do,VBG
138365_1885-08-03_Committee [Progress 31st July].txt,81,"a view to an immoral purpose, a safeguard might be provided against the evils which had been pointed out by the late Home Secretary (Sir William Harcourt). He could not",help,"thinking that this evil existed, and he would be glad to learn from the Home Secretary (Sir R. Assheton Cross) whether he was informed by the police of its existence. He (Mr. Reid) would vote with his right hon. Friend (Mr. Stansfeld); but he trusted that no hon. Member would suppose he did so in the belief that the Medical",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138365_1885-08-03_Committee [Progress 31st July].txt,82,"was given to a defendant to give evidence, and he did not do so, the conclu- sion to be drawn was that he was in the wrong. He could not",help,"thinking that in cases where the evidence of a small child was taken, the statement of the prisoner himself would be of value. Where guilty he would be likely to say nothing—so that the provision would enable the innocent man to get off, and aid the conviction of the guilty. With regard to the Proviso— No person so charged, being",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138305_1885-07-31_Recent Legislation—the Socialistic Tendency—observations.txt,83,"defended his Housing of the Working Classes Bill , on the ground that it is the duty of the State to provide, or by selling property below its value, to",help,"to provide houses for those in its employ. Where, let me ask, will he draw the line—will he house the Foreign Office clerks, and all others in Government employment, including the tidewaiters and police? And, if not, why not? What otherwise does he propose, but the most glaring class legislation. Now, my Lords, I believe all this to be a",TO,VERB,VB,provide,0,No,NA,NA,NA,POS,YEStoBefore,NP,value,Inanimate,provide,VB
138367_1885-08-03_Committee.txt,84,"from having their educational system under one Head. They found, from the evidence of past Vice Presidents of the Council, that being in charge of Scotch education had been a",help,to them in the administration of English education; and they had evidence from teachers of the best standing that the education of Scotland had profited greatly by the familiarity they had—through their connection with the Education Department—with the progress of education in England. While he felt strongly that any proposal to transfer education from the Education Department was to be,NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138367_1885-08-03_Committee.txt,85,"the Scotch Secretary if he had to attend to the affairs of the whole country. There was another important matter—namely, the health question, involved in this; and he could not",help,"expressing his surprise that his right hon. Friend should pooh-pooh a Bill which would create a Minister for Health. He reminded the House that this Bill was the effect of a compromise, and that it was introduced into the House of Lords in a much stronger form. As he could not get the whole of what he would have liked,",ING,VERB,VB,express,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,express,VBG
138598_1885-08-10_Royal Commission on the Depression of Trade and Industry— Constitution of the Co.txt,86,"they appear to imagine that those doctrines may be questioned, and, as it were, to doubt their power of defending them. We desire, in the name of the nation, the",help,"of our political adversaries in this matter, and if they do not give it they will be wanting in their duty to their country and their Queen. I wish, Sir, to ask whether the Chancellor of the Exchequer is thus correctly reported; and, further, if he will lay on the Table of this House the Correspondence which has passed between",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138256_1885-07-30_(No 107) Committee.txt,87,"it clearly and distinctly before the House. He entertained the highest opinion of the late Lord Chancellor, who had been the chief promoter of this Bill; but he could not",help,"remembering that the noble and learned Earl acted as counsel for the gentleman who claimed the Earldom. This was unfortunate, although he did not mean to say I that it influenced him to the slightest extent. No one had yet stated the grounds on which the Bill was based, and in these circumstances he thought it would be most injudicious",ING,VERB,VB,remember,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,remember,VBG
137541_1885-07-13_Supply—army; (Supplementary).txt,89,"made public, no doubt a great deal might be said, when the results of the inquiry were laid before the House, which had better not be stated. He could not",help,"thinking that an inquiry of this kind should be left entirely to the Commanding Officer in Egypt, and to the Executive Authorities at home. If they acted up to their duty, he believed the officer who was more particularly concerned would not escape blame, and might even incur punishment; but it would be a somewhat serious matter, at least as",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137541_1885-07-13_Supply—army; (Supplementary).txt,90,"General Gordon himself in his recommendation that there should be a further adoption, of coloured troops. He had over and over again spoken about this matter; and he could not",help,"thinking that a return to the old policy of 20, 30, or 40 years ago would be a very wise step. There were then three West India regiments, a Ceylon Rifle Corps, a St. Helena Corps, and the Cape Mounted Rifles, besides all the coloured troops they had in India. What number of coloured troops had they now? If hon.",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138813_1886-01-21_First Eight.txt,91,convinced am I that there is a growing and overwhelming consensus of opinion in favour of the maintenance of the Parliamentary Union between Great Britain and Ireland; and I cannot,help,"thinking that the House will hail with the very deepest satisfaction the clear and ringing terms of the Queen's Speech. I am convinced that it is only under the peaceful protection of the Union that the strength and safety of the Empire, the progress of the two peoples, and the real happiness of Ireland can be secured. And now, Mr.",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,think,VBG
138813_1886-01-21_First Eight.txt,92,"two very brief observations. I have disclaimed Party feeling in this speech, and I hope thus far I have kept tolerably close to my promise at the outset. I cannot",help,"saying that, looking at the exact terms of this paragraph as compared with the terms of the Ministerial speeches made before the elections, I see a considerable difference, and cannot help asking whether it is intended or not to make that difference the subject of Ministerial exposition? Sir, one other remark I have to make which is not contentious at",ING,VERB,VB,say,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,say,VBG
138813_1886-01-21_First Eight.txt,93,"saying that, looking at the exact terms of this paragraph as compared with the terms of the Ministerial speeches made before the elections, I see a considerable difference, and cannot",help,"asking whether it is intended or not to make that difference the subject of Ministerial exposition? Sir, one other remark I have to make which is not contentious at all. I hope and I feel assured that there is no intention at all on the part of Her Majesty's Government, or, I hope, of any person in this House, whatever",ING,VERB,VB,ask,0,No,NA,NA,NA,NEG,NOtoBefore,NP,difference,Inanimate,ask,VBG
138813_1886-01-21_First Eight.txt,94,"they are in this case, I am not ashamed to express my joy at finding that in these days of profitless trade something considerable has occurred in Burmah that may",help,"to lift our commerce out of the slough of depression. Sir, before I sit down I will allude to one more passage in the Gracious Speech from the Throne. I rejoice to see that the noble Lord the Secretary of State for India (Lord Randolph Churchill) proposes an inquiry by this House as to the results of the Indian administration",TO,VERB,VB,lift,0,No,NA,NA,NA,POS,NOtoBefore,PRON,that,Inanimate,lift,VB
138813_1886-01-21_First Eight.txt,95,"Irish history; and when the right hon. Gentleman the Member for Mid Lothian (Mr. Gladstone) tonight accuses the Government of vacillation in dealing with the Irish Question, I could not",help,"recalling those years in the history of the late Parliament when outrage and murder stalked abroad in Ireland, and when no hand was raised—at all events, not the hands of a paralyzed Government—to arrest its evil course, and the first blow at the organization, of which the hon. Member for the City of Cork (Mr. Parnell) was the head, was",ING,VERB,VB,recall,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,recall,VBG
138813_1886-01-21_First Eight.txt,96,"under such circumstances, with such fire, and such true eloquence, must have impressed a large portion of the House. Moreover, I do not scruple to say that I could not",help,"listening with an amount of pleasure—such as I have experienced before on more than one occasion—to the not un-genial or ill-natured, though sometimes bitter, humour of the hon. Member for South Derry (Mr. Healy). It has occurred to me within the last hour and a half or two hours that there are considerations which might possibly influence the House of",ING,VERB,VB,listen,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,listen,VBG
138813_1886-01-21_First Eight.txt,97,"interested in it. A Blue Book, containing as much detail as the Government have it in their power to produce, has been laid upon the Table tonight; and I cannot",help,"thinking that the hon. Gentleman (Mr. Hunter), who has given Notice of the Motion, and who takes great interest in the subject, will, at a future time, be in a better position to bring his views before the House of Commons than he can possibly be at the present moment. He may have exceptional facilities for obtaining information on the",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,think,VBG
138295_1885-07-31_Committee [Progress 30th July].txt,98,"the right hon. Gentleman had not had the strength to resist the proposal of the hon. Member for Wolverhampton (Mr. H. H. Fowler). MR. EDWARD CLARKE said, he could not",help,"joining in the protest of the late Solicitor General against this clumsy mode of dealing with the subject. He was greatly surprised at the speech of the Home Secretary. The Committee ought to be guided by the Home Secretary; but, instead of giving them his advice, the right hon. Gentleman waited until several speeches had been delivered, and then he",ING,VERB,VB,join,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,join,VBG
138295_1885-07-31_Committee [Progress 30th July].txt,99,"for life would operate as a deterrent? Even in penal servitude there might be some hope of a convict becoming a better man; but would flogging, in the slightest degree,",help,"to humanize him? If flogging were not a deterrent, if it would not prevent crime, was it worth while to be revengeful, and to subject a man to this punishment? It was a retrograde motion. They had to deal with their criminal offenders, as with their lunatics, on different principles from those formerly recognized. They used to ill-treat and torture",TO,VERB,VBP,humanize,0,No,NA,NA,NA,POS,NOtoBefore,NP,degree,Inanimate,humanize,VB
138295_1885-07-31_Committee [Progress 30th July].txt,100,"that the object of the clause was to protect very young girls against corruption, and to preserve young children from falling into snares which led to their ruin. If any",help,"or assistance were given to those who were the seducers of these young girls, and they were thereby encouraged in criminal practices, the object of the section would be entirely defeated. In an ordinary case of rape there was no provision that would exempt a man from the consequences of his acts, because the person with whom he committed the",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137971_1885-07-23_Committee.txt,101,"the effect that punishment should not be inflicted when sufficient and reasonable precautions had been taken to prevent injury being done to another cable. LORD BRAMWELL said, he could not",help,"thinking that this was a very dangerous piece of legislation. It appeared to him, however, that the Amendment of the noble Duke was an improvement on the original clause, and that the Amendment of the noble Marquess was an improvement on that of the noble Duke; but he himself intended to suggest a third Amendment to the effect that this",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
137473_1885-07-10_Resolution.txt,102,"Society as to the condition of the working classes in no degree apply to the lower stratum, of society. The lower stratum is as poor, as wretched, as demoralized, as",helpless,"now as it was 50 or 100 years ago. [""Oh! oh!""] Well, I can only refer hon. Gentlemen to the mass of evidence by which these statements will be amply supported, and, certainly, my experience has led me to the opinion I have expressed. The depression of trade which has lasted for 10 years is adding to this evil. In",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,103,"bring to the attention of the House is the fact that the pauperized classes of our population cannot avail themselves of emigration. They are too poor, and worse, they are",helpless,"and shiftless. They have learnt no trade that is of any value in the Colonies. I have myself tried to send them out as emigrants, and have been baffled by the fact that amongst the great mass of poverty-stricken and semi-starved people there is almost an absolute incapacity to use their hands in any useful manner. The Colonies will not",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,104,"absolute intellectual ignorance, and, the time has come when it should go a little further and decide that children shall not be allowed to be brought up in such utter",helplessness,"as to make them a burden to the community. I have taken the trouble during the last year or two to get the opinion of competent authorities on this subject, and I am surprised to find that among educational leaders, among the heads of industrial schools, among all clergy who labour amongst the poor, and among all people who examine",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,105,"obtain a living, most of whom can only use their pen but not their hands. Many who are sent into offices descend to utter poverty, and are entirely unfit to",help,"themselves; and if they go to the Colonies, they fail on account of their helplessness. For every vacancy for a clerk, there is a shoal of applicants. I believe that an inestimable boon would be con- ferred on this country if in all classes of society manual training were added to the school curriculum. We should then see the unhappy",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,NP,poverty,Inanimate,go,VBP
137473_1885-07-10_Resolution.txt,106,"Many who are sent into offices descend to utter poverty, and are entirely unfit to help themselves; and if they go to the Colonies, they fail on account of their",helplessness,". For every vacancy for a clerk, there is a shoal of applicants. I believe that an inestimable boon would be con- ferred on this country if in all classes of society manual training were added to the school curriculum. We should then see the unhappy men in large towns, now unable to earn a living, get plenty of employment. Any",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,107,"attempt to deal with them in the way suggested. If they have been neglected in their childhood, taught no useful trade or occupation, they have no enterprize, no incentive to",help,"themselves, and are really a curse and a burden on society. This one good thing my hon. Friend's Motion has brought out—that the root of the evil is parental neglect of children in early life. I do not, however, agree with all the statements and all the conclusions he has submitted to the House. I am inclined to concur with",NA,VERB,VB,NA,NA,NA,NA,NA,NA,NEG,YEStoBefore,NP,incentive,Inanimate,bring,VBN
137473_1885-07-10_Resolution.txt,108,"(Mr. S. Smith) spoke of 000,000 who passed from the rural districts during the last 14 years to the great centres of population. Now, I do not think all the",helplessness,"in London is the creation of London itself. Into cities like London, Liverpool, and others, the helpless portion of the population have, in a great measure, drifted, for various reasons, to escape their wretched surroundings, to find employment, some because they have lost their character and cannot remain in the place where their fault was committed. London is not altogether",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,109,"to the great centres of population. Now, I do not think all the helplessness in London is the creation of London itself. Into cities like London, Liverpool, and others, the",helpless,"portion of the population have, in a great measure, drifted, for various reasons, to escape their wretched surroundings, to find employment, some because they have lost their character and cannot remain in the place where their fault was committed. London is not altogether responsible for this state of things; but in London and other large towns the condition of things",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,110,"school for two years more. The result is, you do not have the complaint there of classes who cannot use their hands, who cannot find employment, who are shiftless and",helpless,", and wretched dependers on charity or pauperism. Scotland is another illustration. You do not find the same wretched dependers, a class hanging like a millstone round the neck of the country, or, if you do, they are not natives to the manner born. The only way to get rid of this curse is to take the children in hand promptly",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,111,"school, but he is not responsible for his conduct and his neglect. I was glad to hear from my hon. Friend the Member for South Leicestershire (Mr. Pell), of the",help,that the rich people of the West End of London were giving to the poor people of the East End over this matter. I think that this is a very good sign. I have often heard of the good that the rich Jews living in the West End do for those residing in the East End. In the East End,NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137473_1885-07-10_Resolution.txt,112,"scheme for the development of the agriculture of the country was to be carried out so as to yield those profits which he anticipated, and he (Mr. Salt) could not",help,"thinking that it was rather selfish of the hon. Member to keep this great secret to himself; and he thought the House, therefore, had some cause of complaint against the hon. Member. He (Mr. Salt) had listened with great interest to the speech of the hon. Member for Liverpool (Mr. S. Smith); but he was afraid that the hon. Member",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,NP,Salt,Inanimate,think,VBG
138164_1885-07-28_Resolution.txt,113,"of Allegiance that— I, A. B., do swear that I will be faithful, and bear true allegiance to Her Majesty Queen Victoria, her heirs and successors, according to law. So",help,"me God. And I do not regard the words of the Oath, as some hon. Members regard them, as words of an idle and meaningless character. As a member of the Roman Catholic Church, I regard the taking of the Oath as a most solemn act, and I will take the description of how I regard the words of the",NA,VERB,VB,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,NP,law,Inanimate,regard,VB
137871_1885-07-21_Motion for Leave First Reading.txt,114,"proposed, ""That the Bill be read a second time upon Thursday.""—( Mr. Digby. ) MR. HEALY said, he objected to the second reading being taken on Thursday. He could not",help,"thinking that this was an attempt to smuggle the measure through the House. If the present suggestion were adopted, there would be no opportunity of blocking the Bill, or even of seeing it, for it could not be printed. Motion, by leave, withdrawn. Bill to be read a second time upon Monday next.",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
